ánnuitehtadoaba	1. annuitetsbegrep;  
metrum	1. metrum;  
votum	1. votum;  
bábircában	1. makulatur;  
mineralaroggan	1. mineralutvinning;  
dássádáhttingihkan	1. nivellerkikkert;  
čohkkundoalan	1. kam med håndtak;  
indeksaheivehallan	1. indeksregulering;  
geahpeslašmmohallan	1. lungegymnastikk;  
guohtueanan	1. beiteareal;  
sŋiran	1. skralle;  
bábirduoran	1. stiftemaskin;  
miehttejursan	1. medfresing;  
molybden	1. molybden;  
skarlagen	1. skarlagen;  
glykogen	1. glykogen;  
halogen	1. halogen;  
hallusinogen	1. hallusinogen;  
androgen	1. androgen;  
hydrogen	1. hydrogen;  
østrogen	1. østrogen;  
oksygen	1. oksygen;  
luondohábmen	1. karakterdannelse;  
bitumen	1. bitumen;  
kapitáliseren	1. kapitalisering;  
čuokkissveisen	1. punktsveising;  
arsen	1. arsen;  
karoten	1. karoten;  
benzen	1. benzen;  
billeriin	1. margarin;  
badjelluottavuodjin	1. utforkjøring;  
našunalčoahkkin	1. nasjonalforsamling;  
guorusnatjohtin	1. tomgang;  
eananláktin	1. sammenføyning;  
badjelguorbmesihkkarastin	1. overlastsikring;  
konturčielggasmahttin	1. konturforsterkning;  
cuovkanahttin	1. fremkalt abort;  
almmusduhttin	1. tinglysning;  
refleksavázzin	1. automatisk gange;  
estragon	1. estragon;  
ikon	1. ikon;  
konfoluhttanjolon	1. konvoluttklebemaskin;  
mikrobotkkán	1. mikrobryter;  
masommán	1. masovn;  
dulbenjurssán	1. planfres;  
turbo	1. turbo;  
bajitkommando	1. overkommando;  
manomehtar	1. manometer;  
boalsttar	1. pute;  
roavvafuođđar	1. grovfor;  
ruonasfuođđar	1. grønnforvekst;  
aksiálláger	1. aksiallager;  
guovtteráiddoláger	1. torada lager;  
teahter	1. teater;  
guhttanuppelohmehter	1. sekstenmeter;  
kvadratmehter	1. kvadratmeter;  
adapter	1. adapter;  
konverter	1. konverter;  
karbonbábir	1. karbonpapir;  
fievrrádusbábir	1. fraktbrev;  
girdifievrrádusbábir	1. flyfraktbrev;  
šahčir	1. skarp fjellkam;  
guovttetdávttatmohtor	1. totaktsmotor;  
golmmamuddutmohtor	1. trefasemotor;  
traktor	1. traktor;  
mikrodoaimmár	1. mikroprosessor;  
fáttár	1. fadder;  
valljeváilebahkadas	1. ressurskrise;  
goalšoruoššehas	1. sivsanger;  
snoranuohttofanas	1. ringnotfartøy;  
proteidnaávnnas	1. proteintørrstoff;  
anánas	1. ananas;  
ággaras	1. ål;  
gálvojohtolađas	1. omsetningsledd;  
kokos	1. kokos;  
kapers	1. kapers;  
čáhcelagadus	1. vannforsyning;  
kapitálráhkadus	1. kapitalstruktur;  
ovddasvástadus	1. ansvar;  
govvadus	1. framstilling;  
bajimusmearridangáibádus	1. suverenitetskrav;  
čoahkádus	1. sammensetning;  
mearalvuoládus	1. sjømannsfradrag;  
fievrrádus	1. frakt;  
oaivádus	1. veiledning;  
vearromaŋádus	1. skattekreditt;  
fitnooaphahus	1. yrkesopplæring;  
várohus	1. mistanke;  
bálggisčujuhus	1. stibetegnelse;  
čáláhus	1. utskrift;  
beavdegirječáláhus	1. protokollutskrift;  
johtočálus	1. rundskriv;  
vuloštus	1. fundament;  
gáffadat	1. kafeteria;  
časkindávgadat	1. slagseighet;  
arvešoaladat	1. plaskregn;  
šiehtadallanfáladat	1. forhandlingstilbud;  
ávttadat	1. slakteplass;  
sosiálossodat	1. sosialetaten;  
kánttorservodat	1. kontorlandskap;  
guokteoahpaheaddjivuogádat	1. tolærersystem;  
desimálvuogádat	1. desimalsystem;  
dievasivdnádat	1. maksimalkulør;  
kameráldoaimmahat	1. kameralvesen;  
luoitahat	1. avløp;  
differensiálgiddehat	1. differensialsperre;  
dusttehat	1. støtfanger;  
feltspáhtaláiggohat	1. feltspatbrudd;  
dákteluottohat	1. beinverk;  
unnimusealáhat	1. minstepensjon;  
fievridanjohtolat	1. godstrafikk;  
lávvolat	1. kon;  
makaruvnnat	1. makaroni;  
tákseorustat	1. taxiholdeplass;  
lássenrieggabasttat	1. låseringstang;  
jeaggehávat	1. myrhauk;  
grávvejaččat	1. gravøl;  
geavahanriektelaččat	1. bruksrettskrets;  
kitet	1. kjetting;  
gieđaguhkit	1. gripetang;  
johtooamit	1. omløpsmidler;  
biepmussálttit	1. næringssalter;  
oarrskieddu	1. lineforsyn;  
plantarflekšuvdnaguoddu	1. plantarflerert stilling;  
biššonbád-fárfu	1. løkke;  
geaigu	1. ark;  
kánttorbargu	1. kontorarbeid;  
ivdnádatsodju	1. kulørtone;  
vuolimusgálvorádju	1. minimumsbeholdning;  
golggusrádju	1. væskelager;  
botneneahku	1. bunnformasjon;  
indeksalohku	1. indekstall;  
