ovttasbargojoavku ___ n ___ 
oiddot ___ n ___ 
oarjelsámegiella ___ n ___ 
náittosguoibmi ___ n ___ 
nuortanáste ___ n ___ 
musihkkavuohki ___ n ___ 
measttir ___ n ___ 
maorigiella ___ n ___ 
lulli-sápmi ___ n ___ 
loahppaboađus ___ n ___ 
lassa ___ n ___ 
kunddár ___ n ___ 
kultursiida ___ n ___ 
kulturdáhpáhus ___ n ___ 
konkursa ___ n ___ 
hága ___ n ___ 
hytta ___ n ___ 
hurra ___ n ___ 
heahteguovddáš ___ n ___ 
gávpotolmmoš ___ n ___ 
gávpehommet ___ n ___ 
guottetbáiki ___ n ___ 
guolástanvuoigatvuohta ___ n ___ 
gonagaspárra ___ n ___ 
goahtesadji ___ n ___ 
girdifitnodat ___ n ___ 
giliolmmoš ___ n ___ 
giehtatelefuvdna ___ n ___ 
geatnegáhttu ___ n ___ 
garraduodji ___ n ___ 
fylkkasearvi ___ n ___ 
filbmabargu ___ n ___ 
fierbmevuoigatvuohta ___ n ___ 
falástallansearvi ___ n ___ 
ealáhuskántuvra ___ n ___ 
duodjekursa ___ n ___ 
dispensašunlávdegoddi ___ n ___ 
dirigeanta ___ n ___ 
dinen ___ n ___ 
bušeahttaárvalus ___ n ___ 
biergokvaliteahtta ___ n ___ 
beassášvahkku ___ n ___ 
440-klássa ___ n ___ 
árbesilba ___ n ___ 
álgoálbmotforum ___ n ___ 
álbmotčearda ___ n ___ 
váldobáiki ___ n ___ 
váikkuhangaskaoapmi ___ n ___ 
vuosttaševttohas ___ n ___ 
vuorasolmmoš ___ n ___ 
unnitloguálbmot ___ n ___ 
tihppenruhta ___ n ___ 
terror ___ n ___ 
sávzaeaiggát ___ n ___ 
sámelista ___ n ___ 
sámedikkejoavku ___ n ___ 
stálobursa ___ n ___ 
skutterluodda ___ n ___ 
radioprográmma ___ n ___ 
priváhtaskuvla ___ n ___ 
politikámmár ___ n ___ 
olmmošvuohta ___ n ___ 
olggosaddin ___ n ___ 
ohccan ___ n ___ 
oažžundihtti ___ n ___ 
oahppoávnnas ___ n ___ 
oahppoguovddáš ___ n ___ 
njunušpolitihkkár ___ n ___ 
nissonášši ___ n ___ 
mátketelefuvdna ___ n ___ 
máhta ___ n ___ 
molsašuddi ___ n ___ 
mihtomearri ___ n ___ 
meahcceealáhus ___ n ___ 
loahppabargu ___ n ___ 
livnnetkantuvra ___ n ___ 
