Engelasgiella	Suomagillii guhkes ja oanehaš (gáldu: Kotus)	Ruoŧagillii (utrikes namnbok, regeringen.se)	Dárogillii (bokmål). gáldu: Språkrådet)	Sámi GG mearkkašumit	Ávžžuhuvvon (dohkkehuvvon)		Sojaheapmi (Gen sing, ill sing)	Lassimearrádus	Čilgehus
Liechtenstein	Liechtenstein; Liechtensteinin ruhtinaskunta	Liechtenstein; Furstendömet Liechtenstein	Liechtenstein; Fyrstedømmet Liechtenstein		Liechtenstein	Liechtenstein prinsipáhta	Liechtenstein, Liechtensteinii		
Lithuania	Liettua; Liettuan tasavalta	Litauen; Republiken Litauen	Litauen; Republikken Litauen		Lietuva 	Lietuva dásseváldi	Lietuva, Lietuvai		
Luxembourg	Luxemburg; Luxemburgin suurherttuakunta	Luxemburg; Storhertigdömet Luxemburg	Luxemb(o)urg; Storhertugdømmet Luxemb(o)urg		Luxemburg	Luxemburg stuorraprinsipáhta	Luxemburg, Luxemburgii		
Madagascar	Madasgaskar; Madagaskarin tasavalta	Madagaskar; Republiken Madagaskar	Madagaskar; Republikken Madagaskar		Madagaskar	Madagaskar dásseváldi	Madagaskar, Madagaskarii		
Malawi	Malawi; Malawin tasavalta	Malawi; Republiken Malawi;	Malawi; Republikken Malawi		Malawi	Malawi dásseváldi	Malawi, Malawii		Geahča beavdegirjji prinsihppamearrádusa i-loahppasaš rikkaid namat
Malaysia	Malesia	Malaysia	Malaysia (også offisielt navn)		Malaysia	(maiddái almmolaš namma) 	Malaysia, Malaysiai		
Maldives	Malediivit; Malediivien tasavalta	Maldiverna; Republiken Maldiverna	Maldivene; Republikken Maldivane		Maledivat	Maledivaid dásseváldi	Maledivaid, Maledivaide		Váldosuolu dán riikkas lea Male, danne lasihuvvui e. muđui čuovui juogus prinsihpa ahe ii sámáiduhe
Mali	Mali; Mali tasavalta	Mali; Republiken Mali	Mali; Republikken Mali		Mali	Mali dásseváldi	Mali, Malii		Geahča beavdegirjji prinsihppamearrádusa i-loahppasaš rikkaid namat
Malta	Malta;Maltan tasavalta
	Malta; Republiken Malta	Malta; Republikken Malta		Malta	Malta dásseváldi	Malta, Maltai		
Marshall Islands	Marshallinsaaret; Marshallinsaarten tasavalta	Marshallöarna; Republiken Marshallöarna	Marshalløyene; Republikken Marshalløyene		Marshallsullot	Marshallsulluid dásseváldi 
	Marshallsulluid, Marshallsulluide		
Mauritania	Mauritania; Mauritanian islamilainen tasavalta	Mauretanien; Islamiska republiken Mauretanien;	Mauritania; Republikken Marshalløyene		Mauritania	Mauritania islamlaš dásseváldi	Mauritania, Mauritaniai		
Mauritius	Mauritius; Mauritiuksen tasavalta	Mauritius; Republiken Mauritius	Mauritius; Republikken Mauritius		Mauritius	Mauritius dásseváldi	Mauritius, Mauritiusii		
Mexico	Meksiko; Meksikon yhdysvallat	Mexiko; Mexikos förenta stater	Mexico; De forente stater Mexico	ovttastuvvan? Ii go leat ovttastuvvon?	Mexico	Mexico ovttastuvvan stáhtat	Mexico, Mexicoi		Geahča prinsihppamearrádusa beavdegirjjis o-loahppasaš namaide
Micronesia, Federated States of...	Mikronesia; Mikronesian liittovaltio; rinn. Mikronesian federaatio	Mikronesien; Mikronesiska federationen	Mikronesiaføderasjonen (også offisielt navn)	Federašuvdna vai lihttostáhtat?	Mikronesia	Mikronesia lihttostáhta	Mikronesia, Mikronesiai		
Monaco	Monaco; Monacon ruhtinaskunta	Monaco; Furstendömet Monaco	Monaco; Fyrstedømmet Monaco	Principauté de Monaco
 Principatu de Múnegu	Monaco	Monaco prinsipáhta	Monacoi		Geahča beavdegirjji prinsihppamearrádusa
Mongolia	Mongolia	Mongoliet	Mongolia (også offisielt navn)		Mongolia	(maiddái almmolaš namma) 	Mongoliai		
Montenegro	Montenegro	Montenegro	Montenegro (også offisielt navn)		Montenegro	(maiddái almmolaš namma) 			
Morocco	Marokko; Marokon kuningaskunta	Marocko; Konungariket Marocko	Marokko; Kongeriket Marokko		Marokko	Marokko gonagasriika	Marokkoi		Geahča beavdegirjji prinsihppamearrádusa
Mozambique	Mosambik; Mosambikin tasavalta	Moçambique; Republiken Moçambique	Mosambik; Republikken Mosambik		Mosambik	Mosambik dásseváldi	Mosambik, Mosambikii		Geahča beavdegirjji prinsihppamearrádusa
